name,image_url,image_path
Dante Exum,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Exum_Dante_dal24.jpg,Dante_Exum.jpg
Kyle Filipowski,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Filipowski_Kyle_uta24.jpg,Kyle_Filipowski.jpg
Dorian Finney-Smith,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Finneysmith_Dorian_Bkn24.jpg,Dorian_Finney-Smith.jpg
Adam Flagler,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Flagler_Adam_okc24.jpg,Adam_Flagler.jpg
Trentyn Flowers,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Flowers_Trentyn_lac24.jpg,Trentyn_Flowers.jpg
Malachi Flynn,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Flynn_Malachi_sas24.jpg,Malachi_Flynn.jpg
Simone Fontecchio,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Fontecchio_Simone_det24.jpg,Simone_Fontecchio.jpg
De'Aaron Fox,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Fox_Deaaron_sac24.jpg,De'Aaron_Fox.jpg
Enrique Freeman,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Freeman_Enrique_ind24.jpg,Enrique_Freeman.jpg
Markelle Fultz,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Fultz_Markelle_orl23.jpg,Markelle_Fultz.jpg
Johnny Furphy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Furphy_Johnny_ind24.jpg,Johnny_Furphy.jpg
Daniel Gafford,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gafford_Daniel_dal24.jpg,Daniel_Gafford.jpg
Darius Garland,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Garland_Darius_cle24b.jpg,Darius_Garland.jpg
Luka Garza,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Garza_Luka_min24.jpg,Luka_Garza.jpg
Keyonte George,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/George_Keyonte_uta_24.jpg,Keyonte_George.jpg
Kyshawn George,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/George_Kyshawn_mi23.jpg,Kyshawn_George.jpg
Paul George,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/George_Paul_phi24.jpg,Paul_George.jpg
Taj Gibson,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gibson_Taj_cha24.jpg,Taj_Gibson.jpg
Josh Giddey,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Giddey_Josh_chi24.jpg,Josh_Giddey.jpg
Shai Gilgeous-Alexander,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gilgeousalexander_Shai_okc24.jpg,Shai_Gilgeous-Alexander.jpg
Anthony Gill,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gill_Anthony_was24.jpg,Anthony_Gill.jpg
Collin Gillespie,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gillespie_Collin_phx24.jpg,Collin_Gillespie.jpg
Rudy Gobert,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gobert_Rudy_min24.jpg,Rudy_Gobert.jpg
Jordan Goodwin,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Goodwin_Jordan_lal24.jpg,Jordan_Goodwin.jpg
Aaron Gordon,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gordon_Aaron_den24.jpg,Aaron_Gordon.jpg
Eric Gordon,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gordon_Eric_phi24.jpg,Eric_Gordon.jpg
Jerami Grant,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Grant_Jerami_por24.jpg,Jerami_Grant.jpg
A.J. Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_AJ_mil24.jpg,A.J._Green.jpg
Draymond Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_Draymond_gsw24.jpg,Draymond_Green.jpg
Jalen Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_Jalen_hou24.jpg,Jalen_Green.jpg
Javonte Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_Javonte_nop24.jpg,Javonte_Green.jpg
Jeff Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_Jeff_hou24.jpg,Jeff_Green.jpg
Josh Green,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Green_Josh_cha24.jpg,Josh_Green.jpg
Quentin Grimes,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Grimes_Quentin_dal24.jpg,Quentin_Grimes.jpg
Mouhamed Gueye,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Gueye_Mouhamed_atl24.jpg,Mouhamed_Gueye.jpg
Rui Hachimura,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hachimura_Rui_lal24.jpg,Rui_Hachimura.jpg
Tyrese Haliburton,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Haliburton_Tyrese_ind24.jpg,Tyrese_Haliburton.jpg
P.J. Hall,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hall_PJ_den24.jpg,P.J._Hall.jpg
Tim Hardaway Jr.,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardaway_Tim_det24.jpg,Tim_Hardaway_Jr..jpg
James Harden,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harden_James_lac24.jpg,James_Harden.jpg
